1: Homo_sapiens
2: Abiotrophia_defectiva
3: Acaricomes_phytoseiuli
4: Acaryochloris_marina
5: Acetanaerobacterium_elongatum
6: Acetitomaculum_ruminis
7: Acetivibrio_cellulolyticus
8: Acetivibrio_ethanolgignens
9: Acetoanaerobium_sticklandii
10: Acetobacter_aceti
11: Acetobacter_cibinongensis
12: Acetobacter_ghanensis
13: Acetobacter_indonesiensis
14: Acetobacterium_bakii
15: Acetobacterium_dehalogenans
16: Acetobacterium_wieringae
17: Acetobacterium_woodii
18: Acetobacter_nitrogenifigens
19: Acetobacter_okinawensis
20: Acetobacter_orientalis
21: Acetobacter_papayae
22: Acetobacter_pasteurianus
23: Acetobacter_persici
24: Acetobacter_senegalensis
25: Acetohalobium_arabaticum
26: Acetomicrobium_hydrogeniformans
27: Acetomicrobium_mobile
28: Acetonema_longum
29: Acholeplasma_axanthum
30: Acholeplasma_brassicae
31: Acholeplasma_equifetale
32: Acholeplasma_granularum
33: Acholeplasma_hippikon
34: Acholeplasma_laidlawii
35: Acholeplasma_modicum
36: Acholeplasma_multilocale
37: Acholeplasma_oculi
38: Acholeplasma_palmae
39: Achromobacter_xylosoxidans
40: Acidaminobacter_hydrogenoformans
41: Acidaminococcus_fermentans
42: Acidaminococcus_intestini
43: Acidaminococcus_timonensis
44: Acidibacillus_ferrooxidans
45: Acidiferrobacter_thiooxydans
46: Acidihalobacter_ferrooxidans
47: Acidihalobacter_prosperus
48: Acidimicrobium_ferrooxidans
49: Acidiphilium_angustum
50: Acidiphilium_multivorum
51: Acidipropionibacterium_acidipropionici
52: Acidipropionibacterium_jensenii
53: Acidipropionibacterium_thoenii
54: Acidisphaera_rubrifaciens
55: Acidithiobacillus_caldus
56: Acidithiobacillus_ferrivorans
57: Acidithiobacillus_ferrooxidans
58: Acidithiobacillus_thiooxidans
59: Acidithrix_ferrooxidans
60: Acidobacterium_ailaaui
61: Acidobacterium_capsulatum
62: Acidocella_aminolytica
63: Acidocella_facilis
64: Acidomonas_methanolica
65: Acidothermus_cellulolyticus
66: Acidovorax_avenae
67: Acidovorax_caeni
68: Acidovorax_delafieldii
69: Acidovorax_konjaci
70: Acidovorax_radicis
71: Acidovorax_soli
72: Acidovorax_temperans
73: Acidovorax_valerianellae
74: Acidovorax_wautersii
75: Acinetobacter_apis
76: Acinetobacter_baumannii
77: Acinetobacter_beijerinckii
78: Acinetobacter_bohemicus
79: Acinetobacter_boissieri
80: Acinetobacter_bouvetii
81: Acinetobacter_brisouii
82: Acinetobacter_celticus
83: Acinetobacter_defluvii
84: Acinetobacter_equi
85: Acinetobacter_gerneri
86: Acinetobacter_guillouiae
87: Acinetobacter_gyllenbergii
88: Acinetobacter_harbinensis
89: Acinetobacter_indicus
90: Acinetobacter_johnsonii
91: Acinetobacter_junii
92: Acinetobacter_kookii
93: Acinetobacter_larvae
94: Acinetobacter_marinus
95: Acinetobacter_nectaris
96: Acinetobacter_parvus
97: Acinetobacter_pittii
98: Acinetobacter_populi
99: Acinetobacter_qingfengensis
100: Acinetobacter_radioresistens
101: Acinetobacter_rudis
102: Acinetobacter_schindleri
103: Acinetobacter_soli
104: Acinetobacter_tandoii
105: Acinetobacter_towneri
106: Acinetobacter_ursingii
107: Actibacterium_atlanticum
108: Actibacterium_mucosum
109: Actinoalloteichus_cyanogriseus
110: Actinoalloteichus_hoggarensis
111: Actinoalloteichus_hymeniacidonis
112: Actinobacillus_succinogenes
113: Actinobacillus_suis
114: actinobacterium_LLX17
115: Actinobaculum_massiliense
116: Actinobaculum_suis
117: Actinocatenispora_sera
118: Actinokineospora_bangkokensis
119: Actinokineospora_enzanensis
120: Actinokineospora_inagensis
121: Actinokineospora_spheciospongiae
122: Actinokineospora_terrae
123: Actinomadura_atramentaria
